concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
1,5,19.855995655059814,0.2518131090911008,1280,64.4641559273218,3.965163469314575,3.988215923309326,3.992757701873779,3.970880699157715
2,10,20.07753324508667,0.49806915411021313,2560,127.50570345221456,4.0078277587890625,4.026445472240448,4.029646699428558,4.01202027797699
4,20,20.151164293289185,0.9924984834082502,5120,254.07961175251205,4.03095269203186,4.032345938682556,4.032410082817077,4.027970266342163
8,40,20.155640602111816,1.984556124492961,10240,508.046367870198,4.03073263168335,4.033555245399475,4.034267659187317,4.027399283647537
16,80,20.577998876571655,3.8876472138931417,20480,995.2376867566443,4.109863519668579,4.117821574211121,4.11956508398056,4.109512048959732
24,120,22.299215078353882,5.381355333734839,30720,1377.6269654361188,4.462453484535217,4.471914458274841,4.474930136203766,4.453166951735814
32,160,22.1209557056427,7.232960552386377,40960,1851.6379014109125,4.415963172912598,4.44201626777649,4.445257065296173,4.4141636192798615
48,240,38.89283990859985,6.170801632485881,61440,1579.7252179163856,4.399036169052124,4.408298850059509,4.411232829093933,4.376870890458425
64,320,44.10806393623352,7.254909226181861,81920,1857.2567619025565,4.404675602912903,4.414874613285065,4.417993800640106,4.4037653908133505
