run_label,prompt_idx,max_tokens,concurrency,n_requests,elapsed_s,req_per_sec,out_tokens_total,tokens_per_sec,lat_p50_s,lat_p95_s,lat_p99_s,lat_mean_s
output_length_sweep,1,64,24,120,6.573400974273682,18.2553902416183,7680,1168.3449754635712,1.1507632732391355,1.9466518998146056,1.9476566195487977,1.30911732117335
output_length_sweep,1,64,32,160,5.884093999862671,27.19195172676273,10240,1740.284910512815,1.1696648597717283,1.175812292098999,1.1792697072029117,1.1692165449261664
output_length_sweep,1,64,40,200,8.080063104629517,24.75228193272512,12800,1584.1460436944076,1.171864032745361,1.1841070771217346,1.186702916622162,1.168073401451111
output_length_sweep,1,128,24,120,11.396928548812866,10.529152612130703,15360,1347.7315343527305,2.27334976196289,2.278938865661621,2.281571063995361,2.273571582635244
output_length_sweep,1,128,32,160,11.61226773262024,13.778531780708173,20480,1763.652067930646,2.3147586584091187,2.324862372875214,2.326915559768677,2.3152631402015684
output_length_sweep,1,128,40,200,15.986482620239258,12.51056938233526,25600,1601.3528809389131,2.31416392326355,2.328606212139129,2.3321074938774107,2.3062232410907746
output_length_sweep,1,256,24,120,22.771726608276367,5.269692635269303,30720,1349.0413146289416,4.543418884277344,4.562747037410736,4.564409441947937,4.545409007867177
output_length_sweep,1,256,32,160,23.164188861846924,6.907213585342997,40960,1768.2466778478072,4.62372350692749,4.636232829093933,4.638516044616699,4.624707612395286
output_length_sweep,1,256,40,200,31.891212701797485,6.271319998713231,51200,1605.4579196705872,4.62844455242157,4.636143290996552,4.639387769699097,4.607490656375885
output_length_sweep,1,512,24,120,45.79489231109619,2.6203795651447304,61440,1341.634337354102,9.15074598789215,9.16681581735611,9.168222811222076,9.15314968029658
output_length_sweep,1,512,32,160,46.81164288520813,3.4179531018031826,81920,1749.9919881232295,9.355194807052612,9.361477506160735,9.364866831302642,9.35345430970192
output_length_sweep,1,512,40,200,64.4757993221283,3.101939054695199,102400,1588.1927960039418,9.35197651386261,9.3731968998909,9.380748579502105,9.313203563690186
